url_path,views_total,views_unique
/Davis-Fan/X-TED,11,3
/Davis-Fan/X-TED/tree/github-repo-stats,7,1
/Davis-Fan/X-TED/tree/github-repo-stats/Davis-Fan/X-TED,5,1
/Davis-Fan/X-TED/blob/github-repo-stats/Davis-Fan/X-TED/latest-report/report.pdf,4,1
/Davis-Fan/X-TED/tree/github-repo-stats/Davis-Fan/X-TED/latest-report,4,1
/Davis-Fan/X-TED/commit/1824551e9e522e0c36795ac95a17e8a8d2e8e103,1,1
/Davis-Fan/X-TED/commit/1b90ea71fb36cbfe405523ebb606f613e201ee0d,1,1
/Davis-Fan/X-TED/commit/4dd2a3b1f04ea2692f6054bc189de19a45da5ec6,1,1
/Davis-Fan/X-TED/commit/4fe693d0e6c42a891a1c75aacbbe2f9bdf8eb40c,1,1
/Davis-Fan/X-TED/commit/698b5ffe0621552dbe5ca4b0847428d7c95c4454,1,1
