url_path,views_total,views_unique
/Davis-Fan/X-TED,7,2
/Davis-Fan/X-TED/tree/release_code/Sampled_Dataset/2_Python,4,1
/Davis-Fan/X-TED/tree/release_code/Sampled_Dataset,3,1
/Davis-Fan/X-TED/blob/github-repo-stats/Davis-Fan/X-TED/latest-report/report.pdf,1,1
/Davis-Fan/X-TED/blob/release_code/Sampled_Dataset/2_Python/python_nodes_400.txt,1,1
/Davis-Fan/X-TED/blob/release_code/Sampled_Dataset/2_Python/python_nodes_adj_300.txt,1,1
/Davis-Fan/X-TED/tree/github-repo-stats,1,1
/Davis-Fan/X-TED/tree/github-repo-stats/Davis-Fan/X-TED,1,1
/Davis-Fan/X-TED/tree/github-repo-stats/Davis-Fan/X-TED/latest-report,1,1
/Davis-Fan/X-TED/tree/release_code,1,1
