url_path,views_total,views_unique
/Davis-Fan/X-TED,25,4
/Davis-Fan/X-TED/tree/github-repo-stats,13,2
/Davis-Fan/X-TED/tree/github-repo-stats/Davis-Fan/X-TED,8,2
/Davis-Fan/X-TED/blob/github-repo-stats/Davis-Fan/X-TED/latest-report/report.pdf,7,2
/Davis-Fan/X-TED/tree/github-repo-stats/Davis-Fan/X-TED/latest-report,6,2
/Davis-Fan/X-TED/tree/github-repo-stats/.github/workflows,6,1
/Davis-Fan/X-TED/tree/release_code/.github/workflows,6,1
/Davis-Fan/X-TED/actions,5,1
/Davis-Fan/X-TED/tree/release_code,5,1
/Davis-Fan/X-TED/tree/refs/heads/release_code,4,1
