time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-04 00:00:00+00:00,21,5,0,0
2026-05-05 00:00:00+00:00,21,5,0,0
2026-05-06 00:00:00+00:00,30,7,1,1
2026-05-07 00:00:00+00:00,24,9,20,2
2026-05-08 00:00:00+00:00,11,6,0,0
2026-05-09 00:00:00+00:00,32,11,14,1
2026-05-10 00:00:00+00:00,20,7,0,0
2026-05-11 00:00:00+00:00,30,5,0,0
2026-05-12 00:00:00+00:00,7,3,7,1
2026-05-13 00:00:00+00:00,27,8,0,0
2026-05-14 00:00:00+00:00,19,6,0,0
2026-05-15 00:00:00+00:00,15,4,0,0
2026-05-16 00:00:00+00:00,23,6,0,0
2026-05-17 00:00:00+00:00,20,6,0,0
