url_path,views_total,views_unique
/Davis-Fan/X-TED,15,2
/Davis-Fan/X-TED/tree/github-repo-stats,6,1
/Davis-Fan/X-TED/tree/github-repo-stats/.github/workflows,6,1
/Davis-Fan/X-TED/tree/release_code/.github/workflows,6,1
/Davis-Fan/X-TED/actions,5,1
/Davis-Fan/X-TED/tree/refs/heads/release_code,4,1
/Davis-Fan/X-TED/tree/release_code,4,1
/Davis-Fan/X-TED/stargazers,3,2
/Davis-Fan/X-TED/blob/release_code/.github/workflows/github-repo-stats.yml,3,1
/Davis-Fan/X-TED/tree/github-repo-stats/.github,3,1
