url_path,views_total,views_unique
/Davis-Fan/X-TED,24,3
/Davis-Fan/X-TED/tree/github-repo-stats,12,2
/Davis-Fan/X-TED/blob/github-repo-stats/Davis-Fan/X-TED/latest-report/report.pdf,6,2
/Davis-Fan/X-TED/tree/github-repo-stats/Davis-Fan/X-TED,6,2
/Davis-Fan/X-TED/tree/github-repo-stats/.github/workflows,6,1
/Davis-Fan/X-TED/tree/release_code/.github/workflows,6,1
/Davis-Fan/X-TED/tree/github-repo-stats/Davis-Fan/X-TED/latest-report,5,2
/Davis-Fan/X-TED/actions,5,1
/Davis-Fan/X-TED/tree/release_code,5,1
/Davis-Fan/X-TED/tree/refs/heads/release_code,4,1
