time_iso8601,stars_cumulative
2024-08-23 00:00:00+00:00,1
2025-03-12 00:00:00+00:00,2
2026-02-23 00:00:00+00:00,3
2026-05-12 00:00:00+00:00,4
2026-08-11 00:00:00+00:00,5
